"","ac
        type","cn / ln","date","fatalities","flight #","ground","location","operator","registration","route","summary","time"
"122","Breguet 14","?","March 20, 1927","1   (passengers:0  crew:1)","?","0","Rabat, Morocco","Grands Express Aeriens","F-ALRA","Casablanca - Oran","Unknown.","?"
"123","de Havilland DH-9C","86","March 24, 1927","3   (passengers:2  crew:1)","?","0","Tambo, Qld, Australia","Qantas","G-AUED","Charleville - Tambo - Blackall","While attempting to land, the engine failed, the aircraft stalled and crashed.","?"
"124","Swallow
Swallow","A28","April 15, 1927","1   (passengers:0  crew:1)","?","0","King Hill, Idaho","Varney Air Lines","?","?","Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.","?"
"125","Fokker FG III","1567","April 22, 1927","2   (passengers:1  crew:1)","?","0","Floh, Germany","Deutsche Lufthansa","D-729","Charleville - Tambo - Blackall","Crashed following engine failure.","?"
"126","Douglas M-4","?","April 22, 1927","1   (passengers:0  crew:1)","?","0","Goshen, Indiana","US Aerial Mail Service","626","?","Crashed into a field during a snow storm.","?"
"127","SPCA Meteore 63","?","May 02, 1927","1   (passengers:0  crew:1)","?","0","Algiers, Algeria","Air Union","F-AIFN","?","The three engine seaplane stalled and crashed into the sea shortly after taking off.","?"
"128","Junkers F-13","591","July 27, 1927","5   (passengers:3  crew:2)","?","0","Amoneburg, Germany","Deutsche Lufthansa","D-206","Kassel - Frankfurt","Crashed after experiencing engine failure and attempting to make a forced landing.","?"
"129","Fokker F-VIII","4993","August 22, 1927","1   (passengers:0  crew:1)","?","0","Sevenoaks, England","KLM Royal Dutch Airlines","H-NADU
H-NADU","Croydon - Schiphol","A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.","0830"
"130","Fokker Universal","405","September 03, 1927","1   (passengers:0  crew:1)","?","0","Willington, Connecticut","Colonial Air Transport","NC52  	
NC52","?","The postal plane crashed for unknown reasons.","?"
"131","Fokker F-VII","4840","September 17, 1927","7   (passengers:6  crew:1)","?","0","Hadley, New Jersey","Reynolds Airways","NC776","Sightseeing","The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.","?"
"132","Fokker F7","4899/0501","September 17, 1927","3   (passengers:1  crew:2)","?","0","Atlantic Ocean","Private","NX703","Old Orchad Beach - Rome","While flying 1,000 km east of the Canadian coast, the crew sent a mayday message and the aircraft crashed into the ocean two minutes later. The plane was owned by William Randolph Hearst who financed this nonstop transatlantic flight.","0405"
"133","Dornier Merkur","075","September 23, 1927","6   (passengers:4  crew:2)","?","0","Schleiz, Germany","Deutsche Lufthansa","D-585","Berlin - Munich","From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.","10:00"
"134","Breguet 14","229","October 06, 1927","2   (passengers:0  crew:2)","?","0","Thies, Mauritania","Lignes Aeriennes Latecoere","F-AGBN","Saint Louis - Dakar","The plane crashed while attempting to land at Dakar.","?"
"135","Fairchild FC-2","20","October 30, 1927","4   (passengers:3  crew:1)","?","0","New Brunswick, New Jersey","Colonial Air Transport","?","?","Went into a tailspin and crashed into a corn field about 10 km from the airport.","?"
"136","Farman F-121 Jabiru","1","November 08, 1927","1   (passengers:0  crew:1)","?","0","Strasburg, France","CIDNA","F-AIBR","Strasbourg - Paris","The mail plane crashed shortly after taking off.","?"
"137","Junkers F-13","798","November 16, 1927","6   (passengers:4  crew:2)","?","0","Over the Gulf of Finland","Aero O-Y","K-SALD","Tallinn - Helsinki","Crashed in the gulf of Finland and never found.","?"
"138","Douglas M-4","PO641","November 29, 1927","1   (passengers:0  crew:1)","?","0","Corunna, Indiana","National Air Transport","NC62  	
NC1062","?","The postal plane crashed at night in poor weather.","?"
"139","Breguet 14","227","December 28, 1927","1   (passengers:0  crew:1)","?","0","Almeria, Spain","Aeropostale","F-AFGS","Dakar - Casablanca - Alicante - Perpignan - Toulouse","A fire erupted aboard the mail plane while en route and crashed.","?"
"140","Latécoère 23 (flying boat)","23-1","December 31, 1927","5   (passengers:0  crew:5)","?","0","Near Marseille,France","Latecoere Airlines","F-AIHP","Test flight","Suffered structural failure at an altitude of 1,000 ft.","?"
"141","Fairchild FC-2","39","January 08, 1928","3   (passengers:1  crew:2)","?","0","Near Canajoharie, New York","Colonial Western Airlines","NC3780","Minola - Albany - Buffalo","Became lost in dense fog and flew into trees in the Mohawk Valley while proceeding to Buffalo..","?"
"142","Latecoere 25","633","January 16, 1928","2   (passengers:0  crew:2)","F-AIKG","0","Solis, Uruguay","Aeropostale","F-AIKG","Buenos Aires - Montevideo","The wing on the mail plane detached from the aircraft and crashed into the sea.","?"
"143","Breguet 14","?","January 22, 1928","1   (passengers:0  crew:1)","?","0","L'Hospitalet, Ariège","Aeropostale","F-AHEQ","Toulouse - Perpignan - Alicante - Casablanca - Dakar","Crashed after experiencing mechanical difficulties.","?"
"144","Breguet 14","240","January 22, 1928","2   (passengers:0  crew:2)","?","0","Tarragona, Spain","Aeropostale","F-AHEQ","Casablanca - Alicante - Perpignan - Toulouse","Crashed in unknown circumstances.","?"
"145","Breguet 14","162","January 27, 1928","1   (passengers:0  crew:1)","?","0","Almeria, Spain","Aeropostale","F-AFHN","Casablanca - Alicante - Perpignan - Toulouse","After experiencing turbulence the pilot's seat belt broke and ejecting the pilot.","?"
"146","Boeing 40","891","February 26, 1928","1   (passengers:1  crew:0)","?","0","Marquette, Nebraska","Boeing Air Transport","NC280","?","The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.","?"
"147","Farman F-60 Goliath","62/6943","March 11, 1928","2   (passengers:0  crew:2)","?","0","Off Cape Griz Nez, France","Air Union","F-AEFC","Paris - Croydon","Crashed into the sea while delivering mail in poor weather.","?"
"148","Boeing 40","893","April 17, 1928","1   (passengers:1  crew:0)","?","0","Federal, Wyoming","Boeing Air Transport","NC282
NC282","?","Spatial disorientation after entering a snowstorm.","?"
"149","Rohrbach Roland","36","April 19, 1928","9   (passengers:7  crew:2)","?","0","Minuesa, Spain","Iberia Airlines","M-CCCC","Barcelona - Madrid","Crashed into a field after getting lost in fog.","?"
"150","Latecoere 26","671","May 07, 1928","1   (passengers:1  crew:0)","?","0","Florianopolis, Brazil
Florianopolis, Brazil
Florianopolis, Brazil","Aeropostale","F-AIMQ","?","An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted.","?"
"151","Ford 4","4-AT-001","May 12, 1928","2   (passengers:0  crew:2)","?","0","Dearborn, Minnesota","Ford Air Freight Inc.","NC1492","Dearborn - Buffalo","The cargo plane crashed on it’s inaugural flight. The pilot tried to become airborne without sufficient speed.","?"
"152","Junkers F-13","742","May 26, 1928","3   (passengers:2  crew:1)","?","0","Radevormwald, Germany","Deutsche Lufthansa","D-583","Essen - Dortmund - Frankfurt","After taking off and encountering fog, the pilot decided to  to make a precautionary landing in a field but t hit a cow, crashed and burned. Pilot error.","?"
"153","AEGK","439","June 14, 1928","5   (passengers:4  crew:1)","?","0","Frankfurt, Germany","Deutsche Lufthansa","D-74","?","The ""Viper"" crashed for unknown reasons.","?"
"154","Douglas M-4","628","June 22, 1928","1   (passengers:0  crew:1)","?","0","Lebo, Kansas","National Air Transport","NC1059","Chicago - Dallas","The mail plane flew into tornado like winds and crashed in a field.","?"
"155","Junkers F-13","760","July 10, 1928","6   (passengers:4  crew:2)","?","0","Over the Gulf of Finland","Aero O-Y","K-SALB","Tallinn - Helsinki","Crashed under unknown circumstances","?"
"156","Vickers 74 Vulcan","9","July 13, 1928","4   (passengers:4  crew:0)","?","0","Purley, England","Imperial Airways","G-EBLB","Testing","After the aircraft had climbed to 800 feet it disappeared from view of the airport in a south-west direction. The aircraft crashed into a market garden near Leigh Cottage on Woodcote Road, it was seen by residents flying low over the roof tops with the engine evidently in difficulties. The aircraft crashed into a potato field, the pilot in an open cockpit clambered clear and helped one of the passengers from the enclosed cabin free. The aircraft burst into flames and it was not possible to rescue the other passengers.","?"
"157","Fokker (KLM) F.III","1533 (KLM-1)","July 24, 1928","1   (passengers:1  crew:0)","?","0","Waalhaven, Netherlands","KLM Royal Dutch Airlines","H-NABR","Sightseeing over Rotterdam","The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven.","14:48"
"158","Ford 4-AT-B Tri Motor","4-AT-26","August 25, 1928","7   (passengers:5  crew:2)","?","0","Near Port Townsend, BC, Canada","British Columbia Airways","G-CATX","Victoria - Seattle","Crashed into Puget Sound in dense fog 12 miles off Port Townsend.  Considered the first Canadian air disaster.","c 11:00"
"159","Bleriot Spad 33","5/4207","September 02, 1928","5   (passengers:2  crew:3)","?","0","Toul, France","CIDNA","F-AIEP","Toul - Clermont-Ferrand","After taking off the engine failed, the plane stalled and crashed.","c 9:15"
"160","de Havilland DH.50J","5","September 04, 1928","1   (passengers:0  crew:1)","?","0","Adelaide Hills, Australia","Qantas","G-AUHI","Adelaide - Longreach","Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft encounted bad weather, crashed and caught fire.","?"
"161","Fokker Super Universal","809","September 04, 1928","7   (passengers:6  crew:1)","?","0","Pocatello, Idaho","National Parks Airways","NC7242","Great Falls - Pocatello - Salt Lake City","While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times.","11:30"
"162","Fokker FG III","1531","September 06, 1928","3   (passengers:2  crew:1)","?","0","Heroldbach, Germany","Deutsche Lufthansa","D-180","?","Crashed due to engine failure.","?"
"163","Breguet 14","159","October 04, 1928","3   (passengers:2  crew:1)","?","0","Gerona, Spain","Aeropostale","F-AEEJ
F-AEEJ","Casablanca - Alicante - Barcelona - Perpignan - Toulouse","Encountered fog and crashed into a mountain slope near the monastery of Sant Pere de Rodes, south of Llancà,","?"
"164","Douglas M-4","658","October 18, 1928","1   (passengers:0  crew:1)","?","0","Polk, Pennsylvania","National Air Transport","NC1064","?","The mail plane crashed into a hill and burned during the night during poor weather conditons.","?"
"165","Bleriot Spad 56","4381.9","October 31, 1928","1   (passengers:0  crew:1)","?","0","Valence, France","Air Union","F-AIMN","Paris - Lyon - Marseille","The pilot attempted an emergency landing in a muddy field and crashed.","?"
"166","Latecoere 32","80","November 15, 1928","1   (passengers:0  crew:1)","?","0","Off Gibraltar","Aeropostale","F-AISN","Marseille - Palma de Majorca","The sea plane stuck a lightning mast and crashed into houses. Pilot error.","?"
"167","Hamilton H-47","46","November 24, 1928","3   (passengers:2  crew:1)","?","0","Edgerton, Ohio","Universal Airlines","NC7521","Cleveland - Chicago","The mail plane crashed in a heavy snow storm.","?"
